1,15,27
2,20,33
3,22,39
4,37,45
5,41,51
6,45,57
7,47,63
8,55,69
9,60,75
10,64,81
11,77,87
12,91,97
13,91,103
14,103,109
15,105,115
16,117,129
17,121,135
18,126,141
19,138,147
20,138,153
21,149,165
22,158,171
23,159,177
25,175,183
24,173,189
26,187,195
27,193,201
28,199,213
29,203,219
30,217,231
31,223,237
32,228,243
34,239,249
33,237,255
36,254,261
35,249,267
37,266,279
38,274,285
39,284,291
40,291,297
41,292,303
42,300,309
43,304,315
44,309,321
45,315,327
46,320,333
47,321,339
48,333,345
49,341,351
50,347,363
51,352,369
52,359,375
53,372,381
54,375,387
55,378,393
56,388,399
57,389,405
58,402,411
59,409,417
60,411,423
61,419,429
62,431,437
63,439,445
64,440,451
65,448,463
66,454,469
67,459,475
68,463,481
69,478,493
70,483,499
71,489,505
72,500,511
73,504,517
74,512,523
75,513,529
76,517,535
77,523,541
78,535,547
80,541,553
79,541,559
81,548,565
82,559,571
83,565,577
84,579,585
85,585,591
